Instant,Riders,Season,Month,Hour,Holiday,Weekday,Workday,Weather,Temperature,Humidity,Wind
42,53,1,1,18,0,0,0,2,43,.46,.3284
43,30,1,1,19,0,0,0,1,37,.42,.4478
44,22,1,1,20,0,0,0,1,36,.39,.3582
45,31,1,1,21,0,0,0,1,30,.44,.3284
46,9,1,1,22,0,0,0,1,28,.44,.2985
47,8,1,1,23,0,0,0,1,30,.47,.1642
48,5,1,1,0,0,1,1,1,27,.44,.3582
49,2,1,1,1,0,1,1,1,23,.44,.4179
50,1,1,1,4,0,1,1,1,19,.47,.3881
51,3,1,1,5,0,1,1,1,19,.47,.2836
52,30,1,1,6,0,1,1,1,16,.5,.3881
53,64,1,1,7,0,1,1,1,19,.5,.194
54,154,1,1,8,0,1,1,1,18,.5,.2836
55,88,1,1,9,0,1,1,1,19,.43,.3881
56,44,1,1,10,0,1,1,1,23,.43,.2537
57,51,1,1,11,0,1,1,1,25,.4,.3284
58,61,1,1,12,0,1,1,1,28,.35,.2985
59,61,1,1,13,0,1,1,1,28,.35,.2836
60,77,1,1,14,0,1,1,1,32,.3,.2836
61,72,1,1,15,0,1,1,1,32,.3,.2537
62,76,1,1,16,0,1,1,1,32,.3,.2537
63,157,1,1,17,0,1,1,1,30,.3,.2239
64,157,1,1,18,0,1,1,1,34,.32,.1045
65,110,1,1,19,0,1,1,1,34,.47,0
66,52,1,1,20,0,1,1,1,30,.47,.1045
67,52,1,1,21,0,1,1,1,27,.64,.1343
68,20,1,1,22,0,1,1,1,21,.69,.1343
69,12,1,1,23,0,1,1,1,28,.55,.1045
70,5,1,1,0,0,2,1,1,25,.55,.1045
71,2,1,1,1,0,2,1,1,25,.59,.1045
72,1,1,1,2,0,2,1,1,21,.63,.1343
73,2,1,1,4,0,2,1,1,25,.63,.0896
74,4,1,1,5,0,2,1,1,21,.68,.1045
75,36,1,1,6,0,2,1,1,21,.74,.1045
76,94,1,1,7,0,2,1,1,21,.74,.1343
77,179,1,1,8,0,2,1,1,21,.69,.1642
78,100,1,1,9,0,2,1,1,21,.64,.2239
79,42,1,1,10,0,2,1,2,19,.69,.3284
80,57,1,1,11,0,2,1,1,28,.51,.2985
81,78,1,1,12,0,2,1,1,30,.51,.1642
82,97,1,1,13,0,2,1,1,30,.56,.194
83,63,1,1,14,0,2,1,1,34,.52,.2239
84,65,1,1,15,0,2,1,1,36,.52,.2537
85,83,1,1,16,0,2,1,1,37,.49,.2537
86,212,1,1,17,0,2,1,1,36,.48,.2239
87,182,1,1,18,0,2,1,1,34,.48,.194
88,112,1,1,19,0,2,1,1,34,.48,.1045
89,54,1,1,20,0,2,1,1,34,.48,.1045
90,48,1,1,21,0,2,1,1,36,.64,0
91,35,1,1,22,0,2,1,1,34,.64,.0896
92,11,1,1,23,0,2,1,1,30,.69,.0896
93,6,1,1,0,0,3,1,1,34,.64,0
94,6,1,1,1,0,3,1,1,27,.74,.0896
95,2,1,1,2,0,3,1,1,27,.74,.0896
96,2,1,1,4,0,3,1,1,30,.48,.2239
97,3,1,1,5,0,3,1,1,30,.47,.1642
98,33,1,1,6,0,3,1,1,27,.47,.2239
99,88,1,1,7,0,3,1,1,25,.43,.194
100,195,1,1,8,0,3,1,1,25,.4,.2985
101,115,1,1,9,0,3,1,1,27,.37,.3284
102,57,1,1,10,0,3,1,1,27,.37,.3284
103,46,1,1,11,0,3,1,1,30,.33,.3284
104,79,1,1,12,0,3,1,1,30,.33,.3284
105,71,1,1,13,0,3,1,1,34,.3,.2985
106,62,1,1,14,0,3,1,1,37,.28,.194
107,62,1,1,15,0,3,1,1,37,.28,.194
108,89,1,1,16,0,3,1,1,41,.28,.0896
109,190,1,1,17,0,3,1,1,30,.38,.194
110,169,1,1,18,0,3,1,1,32,.38,.1343
111,132,1,1,19,0,3,1,1,34,.38,.1045
112,89,1,1,20,0,3,1,1,30,.47,.1642
113,43,1,1,21,0,3,1,1,27,.51,.194
114,42,1,1,22,0,3,1,1,27,.55,.1343
115,19,1,1,23,0,3,1,1,34,.47,0
116,11,1,1,0,0,4,1,1,32,.55,0
117,4,1,1,1,0,4,1,1,30,.64,0
118,2,1,1,2,0,4,1,1,30,.64,0
119,1,1,1,4,0,4,1,2,27,.64,.0896
120,4,1,1,5,0,4,1,2,25,.69,.0896
121,36,1,1,6,0,4,1,2,23,.63,.1045
122,95,1,1,7,0,4,1,2,30,.59,0
123,219,1,1,8,0,4,1,1,30,.59,0
124,122,1,1,9,0,4,1,2,32,.51,0
125,45,1,1,10,0,4,1,1,34,.47,0
126,59,1,1,11,0,4,1,1,34,.44,.0896
127,84,1,1,12,0,4,1,1,37,.35,0
128,67,1,1,13,0,4,1,1,36,.35,.1045
129,70,1,1,14,0,4,1,1,36,.36,.1642
130,62,1,1,15,0,4,1,1,36,.36,0
131,86,1,1,16,0,4,1,1,34,.38,.1642
132,172,1,1,17,0,4,1,1,30,.51,.1642
133,163,1,1,18,0,4,1,1,30,.51,.1343
134,112,1,1,19,0,4,1,1,34,.55,.0896
135,69,1,1,20,0,4,1,1,28,.51,.1642
136,48,1,1,21,0,4,1,2,28,.55,.2239
137,52,1,1,22,0,4,1,2,28,.51,.2836
138,23,1,1,23,0,4,1,2,27,.59,.194
139,17,1,1,0,0,5,1,2,27,.64,.194
140,7,1,1,1,0,5,1,2,27,.69,.2239
141,1,1,1,2,0,5,1,2,27,.69,.2239
142,1,1,1,4,0,5,1,2,28,.69,.1343
143,5,1,1,5,0,5,1,3,36,.55,0
144,34,1,1,6,0,5,1,2,34,.69,0
145,84,1,1,7,0,5,1,1,28,.69,.1343
146,210,1,1,8,0,5,1,1,27,.51,.2537
147,134,1,1,9,0,5,1,1,25,.47,.2985
148,63,1,1,10,0,5,1,1,27,.37,.3284
149,67,1,1,11,0,5,1,2,27,.4,.2239
150,59,1,1,12,0,5,1,2,27,.37,.2537
151,73,1,1,13,0,5,1,2,25,.37,.2836
152,50,1,1,14,0,5,1,2,27,.4,.2537
153,72,1,1,15,0,5,1,2,28,.37,.1642
154,87,1,1,16,0,5,1,2,28,.37,.1642
155,187,1,1,17,0,5,1,2,34,.37,0
156,123,1,1,18,0,5,1,1,30,.4,.0896
157,95,1,1,19,0,5,1,1,27,.55,.0896
158,51,1,1,20,0,5,1,1,28,.47,.1045
159,39,1,1,21,0,5,1,1,27,.47,.1343
160,36,1,1,22,0,5,1,2,27,.43,.1642
161,15,1,1,23,0,5,1,2,27,.51,.1642
162,25,1,1,0,0,6,0,2,27,.51,.1642
163,16,1,1,1,0,6,0,2,28,.55,.0896
164,16,1,1,2,0,6,0,2,32,.55,0
165,7,1,1,3,0,6,0,3,27,.55,.1642
166,1,1,1,4,0,6,0,3,27,.55,.1642
167,5,1,1,5,0,6,0,2,23,.74,.1642
168,2,1,1,6,0,6,0,2,23,.74,.1642
169,9,1,1,7,0,6,0,2,25,.74,.1045
170,15,1,1,8,0,6,0,3,25,.93,.1045
171,20,1,1,9,0,6,0,3,25,.93,.1045
172,61,1,1,10,0,6,0,2,27,.8,.1642
173,62,1,1,11,0,6,0,2,25,.69,.3881
174,98,1,1,12,0,6,0,2,25,.59,.3582
175,102,1,1,13,0,6,0,1,25,.44,.3284
176,95,1,1,14,0,6,0,1,23,.32,.4925
177,74,1,1,15,0,6,0,1,23,.32,.4478
178,76,1,1,16,0,6,0,1,19,.29,.4478
179,69,1,1,17,0,6,0,1,18,.37,.5522
180,55,1,1,18,0,6,0,1,18,.39,.2985
181,30,1,1,19,0,6,0,1,18,.36,.2537
182,28,1,1,20,0,6,0,1,18,.36,.2537
183,37,1,1,21,0,6,0,1,16,.39,.3582
184,34,1,1,22,0,6,0,1,16,.36,.3881
185,22,1,1,23,0,6,0,1,10,.39,.4478
186,25,1,1,0,0,0,0,1,12,.42,.3881
187,12,1,1,1,0,0,0,1,10,.42,.4627
188,11,1,1,2,0,0,0,1,10,.46,.4627
189,4,1,1,3,0,0,0,1,12,.46,.4179
190,1,1,1,4,0,0,0,1,14,.53,.194
191,1,1,1,5,0,0,0,1,14,.53,.194
192,1,1,1,6,0,0,0,1,14,.49,.2836
193,6,1,1,7,0,0,0,1,14,.53,.194
194,10,1,1,8,0,0,0,1,14,.49,.2836
195,19,1,1,9,0,0,0,1,12,.46,.5224
196,49,1,1,10,0,0,0,1,16,.43,.3881
197,49,1,1,11,0,0,0,1,18,.4,.5224
198,83,1,1,12,0,0,0,1,19,.37,.4478
199,75,1,1,13,0,0,0,1,23,.34,.4478
200,72,1,1,14,0,0,0,1,25,.32,.4627
201,82,1,1,15,0,0,0,1,27,.35,.3582
202,92,1,1,16,0,0,0,1,23,.34,.4478
203,62,1,1,17,0,0,0,1,21,.37,.3881
204,48,1,1,18,0,0,0,1,19,.4,.3284
205,41,1,1,19,0,0,0,1,19,.43,.3284
206,38,1,1,20,0,0,0,1,18,.46,.2537
207,20,1,1,21,0,0,0,1,16,.46,.4179
208,15,1,1,22,0,0,0,1,18,.46,.2985
209,6,1,1,23,0,0,0,1,19,.5,.194
210,5,1,1,0,0,1,1,1,18,.5,.2836
211,1,1,1,1,0,1,1,1,18,.5,.2836
212,3,1,1,2,0,1,1,1,18,.5,.2239
213,1,1,1,3,0,1,1,1,18,.5,.2239
214,3,1,1,4,0,1,1,1,18,.54,.1343
215,3,1,1,5,0,1,1,1,16,.54,.2537
216,31,1,1,6,0,1,1,1,18,.5,.2836
217,77,1,1,7,0,1,1,1,18,.5,.2239
218,188,1,1,8,0,1,1,2,18,.5,.2836
219,94,1,1,9,0,1,1,2,18,.5,.2537
220,31,1,1,10,0,1,1,2,18,.5,.2985
221,30,1,1,11,0,1,1,2,19,.47,.2836
222,52,1,1,12,0,1,1,2,25,.4,.2836
223,54,1,1,13,0,1,1,2,25,.4,.2836
224,47,1,1,14,0,1,1,2,27,.4,.2239
225,45,1,1,15,0,1,1,2,27,.4,.2239
226,74,1,1,16,0,1,1,1,28,.4,.1343
227,178,1,1,17,0,1,1,1,30,.4,.1045
228,155,1,1,18,0,1,1,1,27,.4,.2239
229,95,1,1,19,0,1,1,1,23,.47,.1642
230,74,1,1,20,0,1,1,1,23,.5,.1642
231,38,1,1,21,0,1,1,1,19,.59,.194
232,24,1,1,22,0,1,1,1,21,.59,.1642
233,18,1,1,23,0,1,1,1,21,.59,.1642
234,12,1,1,0,0,2,1,1,23,.59,.1045
235,3,1,1,1,0,2,1,1,21,.59,.1642
236,3,1,1,2,0,2,1,2,21,.55,.194
237,6,1,1,5,0,2,1,2,25,.55,.1343
238,27,1,1,6,0,2,1,2,25,.55,.1343
239,99,1,1,7,0,2,1,2,30,.55,0
240,217,1,1,8,0,2,1,2,28,.51,.0896
241,130,1,1,9,0,2,1,2,27,.51,.1642
242,54,1,1,10,0,2,1,2,28,.51,.1642
243,35,1,1,11,0,2,1,2,28,.47,.1343
244,57,1,1,12,0,2,1,2,30,.51,.1045
245,52,1,1,13,0,2,1,2,30,.59,.0896
246,63,1,1,14,0,2,1,2,30,.59,.0896
247,47,1,1,15,0,2,1,2,27,.8,.0896
248,76,1,1,16,0,2,1,2,21,.86,.2239
249,136,1,1,17,0,2,1,2,21,.86,.2239
250,95,1,1,18,0,2,1,3,25,.93,.1045
251,51,1,1,19,0,2,1,3,30,.93,0
252,32,1,1,20,0,2,1,3,21,.93,.194
253,20,1,1,21,0,2,1,3,27,.86,.0896
254,29,1,1,22,0,2,1,3,25,.93,.1045
255,19,1,1,23,0,2,1,3,27,.93,.0896
256,7,1,1,0,0,3,1,2,27,.86,.0896
257,6,1,1,1,0,3,1,2,25,.86,.1045
258,1,1,1,2,0,3,1,1,21,.86,.1343
259,5,1,1,5,0,3,1,1,21,.86,.1642
260,16,1,1,6,0,3,1,1,21,.93,.1343
261,54,1,1,7,0,3,1,1,21,.69,.1343
262,128,1,1,8,0,3,1,1,23,.59,.1642
263,81,1,1,9,0,3,1,1,19,.59,.3284
264,39,1,1,10,0,3,1,1,25,.55,.2239
265,35,1,1,11,0,3,1,1,25,.51,.3881
266,55,1,1,12,0,3,1,1,21,.47,.5821
267,49,1,1,13,0,3,1,1,27,.44,.3582
268,44,1,1,14,0,3,1,1,25,.47,.3284
269,49,1,1,15,0,3,1,1,23,.47,.4179
270,68,1,1,16,0,3,1,1,27,.44,.3284
271,139,1,1,17,0,3,1,1,25,.47,.3582
272,137,1,1,18,0,3,1,1,21,.47,.5224
273,83,1,1,19,0,3,1,1,21,.47,.4179
274,56,1,1,20,0,3,1,1,19,.5,.3284
275,57,1,1,21,0,3,1,1,19,.55,.3284
276,33,1,1,22,0,3,1,1,18,.55,.4478
277,20,1,1,23,0,3,1,1,16,.59,.4179
278,7,1,1,0,0,4,1,1,18,.59,.2836
279,2,1,1,1,0,4,1,1,18,.5,.2836
280,2,1,1,2,0,4,1,1,18,.5,.3582
281,3,1,1,3,0,4,1,1,18,.5,.3284
282,4,1,1,4,0,4,1,1,18,.5,.2537
283,3,1,1,5,0,4,1,1,18,.5,.2985
284,28,1,1,6,0,4,1,1,21,.54,.1343
285,72,1,1,7,0,4,1,1,21,.54,.1343
286,202,1,1,8,0,4,1,1,19,.5,.194
287,139,1,1,9,0,4,1,1,18,.5,.3284
288,38,1,1,10,0,4,1,2,19,.5,.3582
289,37,1,1,11,0,4,1,2,23,.44,.4478
290,52,1,1,12,0,4,1,1,23,.44,.4179
291,83,1,1,13,0,4,1,1,27,.41,.4478
292,42,1,1,14,0,4,1,1,27,.41,.3881
293,60,1,1,15,0,4,1,1,28,.38,.2985
294,78,1,1,16,0,4,1,1,28,.38,.3582
295,162,1,1,17,0,4,1,1,25,.4,.2836
296,144,1,1,18,0,4,1,1,25,.4,.3284
297,99,1,1,19,0,4,1,1,21,.47,.2537
298,64,1,1,20,0,4,1,1,21,.47,.2239
299,40,1,1,21,0,4,1,1,18,.46,.2985
300,30,1,1,22,0,4,1,1,18,.46,.3284
301,15,1,1,23,0,4,1,1,19,.5,.194
302,14,1,1,0,0,5,1,1,19,.5,.194
303,5,1,1,1,0,5,1,1,18,.54,.1642
304,1,1,1,2,0,5,1,1,18,.54,.1343
305,1,1,1,3,0,5,1,1,19,.54,.1045
306,8,1,1,5,0,5,1,1,19,.54,.0896
307,17,1,1,6,0,5,1,1,25,.54,0
308,70,1,1,7,0,5,1,1,18,.74,.1642
309,158,1,1,8,0,5,1,1,23,.68,0
310,117,1,1,9,0,5,1,1,21,.69,.1343
311,44,1,1,10,0,5,1,1,25,.55,.194
312,53,1,1,11,0,5,1,1,23,.51,.2836
313,61,1,1,12,0,5,1,1,27,.44,.2537
314,77,1,1,13,0,5,1,1,27,.37,.3881
315,64,1,1,14,0,5,1,1,28,.41,.2836
316,68,1,1,15,0,5,1,1,32,.38,.1642
317,90,1,1,16,0,5,1,1,32,.41,.1045
318,159,1,1,17,0,5,1,1,30,.41,.1642
319,139,1,1,18,0,5,1,1,34,.47,0
320,92,1,1,19,0,5,1,1,27,.59,.0896
321,68,1,1,20,0,5,1,1,32,.59,0
322,52,1,1,21,0,5,1,1,30,.69,0
323,36,1,1,22,0,5,1,2,30,.69,0
324,27,1,1,23,0,5,1,2,32,.55,0
325,28,1,1,0,0,6,0,1,32,.55,0
326,20,1,1,1,0,6,0,2,27,.59,.0896
327,12,1,1,2,0,6,0,2,27,.59,.0896
328,8,1,1,3,0,6,0,2,30,.59,0
329,5,1,1,4,0,6,0,2,30,.59,0
330,1,1,1,5,0,6,0,1,30,.59,0
331,3,1,1,6,0,6,0,1,23,.63,.1045
332,10,1,1,7,0,6,0,1,28,.63,0
333,23,1,1,8,0,6,0,1,21,.63,.1343
334,33,1,1,9,0,6,0,1,25,.64,.1343
335,59,1,1,10,0,6,0,1,27,.59,.1642
336,72,1,1,11,0,6,0,1,27,.55,.2239
337,89,1,1,12,0,6,0,1,30,.48,.2239
338,101,1,1,13,0,6,0,1,34,.38,.2985
339,118,1,1,14,0,6,0,1,37,.39,.2836
340,129,1,1,15,0,6,0,2,41,.36,.194
341,128,1,1,16,0,6,0,2,43,.34,.194
342,83,1,1,17,0,6,0,2,39,.36,.2836
343,84,1,1,18,0,6,0,2,37,.45,.2537
344,74,1,1,19,0,6,0,2,39,.39,.2537
345,41,1,1,20,0,6,0,2,39,.39,.2537
346,57,1,1,21,0,6,0,2,39,.39,.2239
347,26,1,1,22,0,6,0,2,41,.42,.1045
348,44,1,1,23,0,6,0,1,37,.45,.2836
349,39,1,1,0,0,0,0,1,39,.56,0
350,23,1,1,1,0,0,0,1,36,.56,.1343
351,16,1,1,2,0,0,0,1,37,.56,.0896
352,15,1,1,3,0,0,0,1,36,.69,0
353,1,1,1,4,0,0,0,1,34,.56,.1642
354,2,1,1,5,0,0,0,2,34,.56,.1642
355,1,1,1,6,0,0,0,2,34,.56,.1642
356,3,1,1,7,0,0,0,2,28,.56,.2985
357,18,1,1,8,0,0,0,1,28,.55,.2836
358,32,1,1,9,0,0,0,1,28,.51,.2537
359,79,1,1,10,0,0,0,1,28,.51,.2836
360,93,1,1,11,0,0,0,1,30,.44,.2537
361,104,1,1,12,0,0,0,1,28,.41,.2836
362,118,1,1,13,0,0,0,1,30,.35,.2985
363,91,1,1,14,0,0,0,1,36,.36,.2537
364,113,1,1,15,0,0,0,1,32,.38,.2537
365,99,1,1,16,0,0,0,1,30,.38,.2239
366,105,1,1,17,0,0,0,1,28,.37,.2537
367,67,1,1,18,0,0,0,1,28,.4,.1642
368,61,1,1,19,0,0,0,1,27,.47,.1343
369,57,1,1,20,0,0,0,1,27,.47,.1642
370,28,1,1,21,0,0,0,1,27,.51,.1642
371,21,1,1,22,0,0,0,2,28,.49,.1343
372,18,1,1,23,0,0,0,2,30,.4,.1045
373,17,1,1,0,1,1,0,2,27,.47,.2239
374,16,1,1,1,1,1,0,2,27,.44,.194
375,8,1,1,2,1,1,0,2,23,.43,.2537
376,2,1,1,3,1,1,0,2,25,.43,.194
377,3,1,1,4,1,1,0,2,27,.43,.1343
378,1,1,1,5,1,1,0,2,27,.43,.1642
379,5,1,1,6,1,1,0,2,25,.43,.194
380,13,1,1,7,1,1,0,2,25,.5,.1343
381,33,1,1,8,1,1,0,2,21,.47,.2239
382,47,1,1,9,1,1,0,2,21,.47,.2239
383,57,1,1,10,1,1,0,2,21,.5,.2537
384,64,1,1,11,1,1,0,2,21,.55,.194
385,80,1,1,12,1,1,0,2,27,.47,.1343
386,93,1,1,13,1,1,0,2,27,.47,.1343
387,86,1,1,14,1,1,0,2,28,.43,.1045
388,93,1,1,15,1,1,0,2,28,.47,.1642
389,82,1,1,16,1,1,0,2,28,.47,.1642
390,71,1,1,17,1,1,0,1,27,.51,.194
391,92,1,1,18,1,1,0,2,23,.55,.2537
392,60,1,1,19,1,1,0,3,25,.59,.194
393,33,1,1,20,1,1,0,3,21,.8,.194
394,27,1,1,21,1,1,0,3,21,.8,.194
395,13,1,1,22,1,1,0,3,18,.93,.2537
396,4,1,1,23,1,1,0,3,19,.86,.2836
397,3,1,1,12,0,2,1,2,25,.86,.3284
398,22,1,1,13,0,2,1,2,27,.86,.2239
399,28,1,1,14,0,2,1,2,30,.8,.1642
400,35,1,1,15,0,2,1,2,30,.87,.1642
401,61,1,1,16,0,2,1,2,30,.87,.194
402,125,1,1,17,0,2,1,2,30,.82,.194
403,133,1,1,18,0,2,1,2,30,.8,.1642
404,99,1,1,19,0,2,1,2,30,.8,.1343
405,83,1,1,20,0,2,1,2,36,.87,0
406,41,1,1,21,0,2,1,2,32,.93,.1045
407,33,1,1,22,0,2,1,2,34,.93,.0896
408,20,1,1,23,0,2,1,2,36,.93,0
409,3,1,1,0,0,3,1,2,36,.93,0
410,7,1,1,1,0,3,1,3,30,.93,.1343
411,3,1,1,2,0,3,1,3,30,.93,.1343
412,2,1,1,4,0,3,1,3,30,.93,.1343
413,7,1,1,5,0,3,1,2,34,.93,.0896
414,32,1,1,6,0,3,1,2,34,.93,.0896
415,90,1,1,7,0,3,1,2,34,.92,.1045
416,197,1,1,8,0,3,1,2,34,.93,.1045
417,109,1,1,9,0,3,1,2,34,.93,.1045
418,47,1,1,10,0,3,1,2,36,.93,.1343
419,52,1,1,11,0,3,1,2,39,.87,.0896
420,70,1,1,12,0,3,1,2,41,.81,.0896
421,78,1,1,13,0,3,1,1,52,.62,.2836
422,75,1,1,14,0,3,1,1,52,.58,.2537
423,82,1,1,15,0,3,1,1,52,.54,.2836
424,104,1,1,16,0,3,1,1,50,.58,.3881
425,197,1,1,17,0,3,1,1,43,.57,.3284
426,161,1,1,18,0,3,1,1,41,.61,.2836
427,112,1,1,19,0,3,1,1,37,.57,.4179
428,76,1,1,20,0,3,1,1,39,.49,.2985
429,59,1,1,21,0,3,1,1,37,.49,.4179
430,59,1,1,22,0,3,1,1,39,.52,.1642
431,28,1,1,23,0,3,1,1,36,.52,.4627
432,13,1,1,0,0,4,1,1,30,.56,.3881
433,5,1,1,1,0,4,1,1,36,.56,0
434,2,1,1,2,0,4,1,1,36,.56,0
435,1,1,1,3,0,4,1,1,34,.56,.1642
436,1,1,1,4,0,4,1,1,34,.56,.1642
437,6,1,1,5,0,4,1,1,30,.6,.2239
438,35,1,1,6,0,4,1,1,28,.6,.2239
439,101,1,1,7,0,4,1,1,28,.55,.2239
440,249,1,1,8,0,4,1,1,28,.55,.2836
441,143,1,1,9,0,4,1,2,30,.52,.2239
442,57,1,1,10,0,4,1,1,30,.48,.2985
443,68,1,1,11,0,4,1,2,36,.45,.1642
444,84,1,1,12,0,4,1,2,43,.42,0
445,98,1,1,13,0,4,1,2,37,.45,.1045
446,81,1,1,14,0,4,1,2,39,.45,.1343
447,70,1,1,15,0,4,1,2,41,.45,.194
448,91,1,1,16,0,4,1,2,39,.49,.1343
449,215,1,1,17,0,4,1,2,41,.49,.1045
450,185,1,1,18,0,4,1,2,34,.56,.194
451,152,1,1,19,0,4,1,1,30,.56,.3284
452,126,1,1,20,0,4,1,2,32,.6,.2836
453,57,1,1,21,0,4,1,2,30,.6,.2537
454,56,1,1,22,0,4,1,2,28,.65,.2836
455,31,1,1,23,0,4,1,2,28,.65,.3284
456,21,1,1,0,0,5,1,2,30,.7,.2537
457,6,1,1,1,0,5,1,2,30,.7,.2537
458,2,1,1,2,0,5,1,3,32,.75,.1642
459,1,1,1,3,0,5,1,3,28,.8,.2985
460,1,1,1,4,0,5,1,2,34,.87,.0896
461,5,1,1,5,0,5,1,1,27,.6,.4179
462,27,1,1,6,0,5,1,1,28,.55,.2537
463,68,1,1,7,0,5,1,1,25,.51,.2836
464,217,1,1,8,0,5,1,1,25,.47,.3284
465,166,1,1,9,0,5,1,1,25,.51,.3582
466,63,1,1,10,0,5,1,1,23,.47,.4627
467,59,1,1,11,0,5,1,1,25,.41,.4627
468,78,1,1,12,0,5,1,1,25,.27,.5821
469,73,1,1,13,0,5,1,1,21,.21,.5821
470,62,1,1,14,0,5,1,1,21,.25,.5224
471,65,1,1,15,0,5,1,1,18,.26,.4478
472,97,1,1,16,0,5,1,1,19,.26,.3582
473,161,1,1,17,0,5,1,1,18,.28,.3582
474,120,1,1,18,0,5,1,1,18,.3,.2537
475,96,1,1,19,0,5,1,1,16,.3,.3284
476,53,1,1,20,0,5,1,1,12,.33,.4179
477,41,1,1,21,0,5,1,1,12,.38,.2836
478,34,1,1,22,0,5,1,1,7,.41,.3881
479,27,1,1,23,0,5,1,1,9,.38,.3284
480,13,1,1,0,0,6,0,1,7,.45,.2537
481,12,1,1,1,0,6,0,2,3,.41,.3881
482,11,1,1,2,0,6,0,2,7,.41,.2537
483,7,1,1,3,0,6,0,2,7,.41,.2836
484,3,1,1,4,0,6,0,2,5,.48,.2985
485,2,1,1,6,0,6,0,2,7,.44,.2239
486,8,1,1,7,0,6,0,1,5,.44,.2836
487,27,1,1,8,0,6,0,1,3,.44,.3284
488,40,1,1,9,0,6,0,1,7,.41,.2537
489,53,1,1,10,0,6,0,2,10,.41,.1642
490,63,1,1,11,0,6,0,2,12,.38,.1343
491,70,1,1,12,0,6,0,2,16,.38,.1045
492,84,1,1,13,0,6,0,1,23,.35,0
493,75,1,1,14,0,6,0,1,19,.33,.1045
494,103,1,1,15,0,6,0,1,21,.28,0
495,83,1,1,16,0,6,0,1,19,.28,.194
496,67,1,1,17,0,6,0,1,27,.28,0
497,54,1,1,18,0,6,0,1,14,.35,.194
498,59,1,1,19,0,6,0,1,16,.35,.1343
499,45,1,1,20,0,6,0,1,12,.45,.1642
500,39,1,1,21,0,6,0,1,16,.41,.0896
501,30,1,1,22,0,6,0,1,21,.49,0
502,33,1,1,23,0,6,0,1,12,.57,.1045
503,22,1,1,0,0,0,0,1,12,.57,.1045
504,13,1,1,1,0,0,0,1,12,.57,.1045
505,18,1,1,2,0,0,0,1,10,.62,.1343
506,5,1,1,3,0,0,0,1,10,.62,.1343
507,3,1,1,5,0,0,0,2,12,.57,.1045
508,1,1,1,6,0,0,0,2,12,.57,.1045
509,2,1,1,7,0,0,0,1,16,.58,.1642
510,19,1,1,8,0,0,0,1,12,.62,.1642
511,28,1,1,9,0,0,0,1,12,.54,.3582
512,58,1,1,10,0,0,0,1,16,.46,.3881
513,99,1,1,11,0,0,0,1,19,.43,.2239
514,116,1,1,12,0,0,0,1,18,.37,.4627
515,87,1,1,13,0,0,0,1,16,.33,.3881
516,110,1,1,14,0,0,0,1,19,.28,.3582
517,77,1,1,15,0,0,0,1,19,.28,.3582
518,65,1,1,16,0,0,0,1,19,.26,.3284
519,55,1,1,17,0,0,0,1,16,.26,.3881
520,49,1,1,18,0,0,0,1,18,.3,.2537
